Iterations		|		ADC		|				ACC				|				GYR				|				MAG				|
    #			|		 0		|		 X		 Y		 Z		|		X		 Y		 Z		|		 X		 Y		 Z		|
____________________________________________________________________________________________________________________________    0	|		0	|	0	-23087	0	|	-29600	-23087	0	|	-29600	-23087	0	|
    1	|		0	|	-12032	0	1	|	-29600	0	1	|	-29600	0	1	|
    2	|		0	|	0	1	2	|	-29600	1	2	|	-29600	1	2	|
    3	|		0	|	256	2	3	|	-29600	2	3	|	-29600	2	3	|
    4	|		0	|	512	3	4	|	-29600	3	4	|	-29600	3	4	|
    5	|		0	|	768	4	5	|	-29600	4	5	|	-29600	4	5	|
    6	|		0	|	1024	5	6	|	-29600	5	6	|	-29600	5	6	|
    7	|		0	|	1280	6	7	|	-29600	6	7	|	-29600	6	7	|
    8	|		0	|	1536	7	8	|	-29600	7	8	|	-29600	7	8	|
    9	|		0	|	1792	8	9	|	-29600	8	9	|	-29600	8	9	|
    10	|		0	|	2048	9	10	|	-29600	9	10	|	-29600	9	10	|
    11	|		0	|	2304	10	11	|	-29600	10	11	|	-29600	10	11	|
    12	|		0	|	2560	11	12	|	-29600	11	12	|	-29600	11	12	|
    13	|		0	|	2816	12	13	|	-29600	12	13	|	-29600	12	13	|
    14	|		0	|	3072	13	14	|	-29600	13	14	|	-29600	13	14	|
    15	|		0	|	3328	14	15	|	-29600	14	15	|	-29600	14	15	|
    16	|		0	|	3584	15	16	|	-29600	15	16	|	-29600	15	16	|
    17	|		0	|	3840	16	17	|	-29600	16	17	|	-29600	16	17	|
    18	|		0	|	4096	17	18	|	-29600	17	18	|	-29600	17	18	|
    19	|		0	|	4352	18	19	|	-29600	18	19	|	-29600	18	19	|
